1,2021-10-29 15:46:04.000000,Заступил на дежурство,-----,, ,Брянский
2,2021-10-29 15:47:24.000000,"event edited
test

test",username_report edited,time_report edited,"after_event edited
test",Троицкий
3,2021-10-29 16:01:15.000000,event,username_report,time_report,after_event,Троицкий
5,2021-10-30 07:04:23.000000,Заступил на дежурство,-----,, ,Кочеров
6,2021-10-30 12:38:30.000000,"Не работает Окт.Рев 374 подъезд 4,8 Окт.Рев 385Б",Федосеев,14:25, Нет электричества.,Кочеров
7,2021-10-30 17:43:04.000000,"Повтор. Не работает Окт.Рев 374 подъезд 4,8 Окт.Рев 385Б",-----,17:50, Работы электриков ,Кочеров
8,2021-10-30 22:59:34.000000,Дежурство Сдал,-----,, ,Кочеров
9,2021-10-31 07:12:16.000000,Заступил на дежурство,-----,, ,Кочеров
10,2021-10-31 13:15:39.000000,Не работает Черная ,Федосеев,14:29, Нет электричества ,Кочеров
11,2021-10-31 23:00:06.000000,Дежурство Сдал,-----,, ,Кочеров
12,2021-11-01 06:59:49.000000,Заступил на дежурство.,-----,, ,Троицкий
13,2021-11-01 07:04:55.000000,"Перезагрузка 57.1 по питанию, так как перестали работать интерфейсы управления.",Брянский,07:06," Все прошло штатно, интерфейсы управления после перезагрузки работают.",Троицкий
14,2021-11-01 09:54:55.000000,"Кратковременно не работал линк Строймонтаж - Сосновый Бор, произошла автоматическая перезагрузка радио.",-----,09:56, Проблема в прошивке радио.,Троицкий
15,2021-11-01 10:13:54.000000,Перезагрузка по питанию О. Р. 298,-----,10:14, ,Троицкий
16,2021-11-01 14:16:44.000000,Замена модели коммутатора 57.209 (Окский 22 6п) с QSW-2800-28T-AC на  DES-3200-28/C1,Федосеев,, ,Троицкий
17,2021-11-01 16:17:58.000000,"Не работает О.Р. 374 8п, пропал линк, мощности на порту нет.",Федосеев,16:57, Нет электричества во всем подъезде,Троицкий
18,2021-11-01 16:52:14.000000,Перезагрузка по питанию О.Р. 374 4п,-----,, ,Троицкий
19,2021-11-01 17:16:03.000000,Перезагрузка по питанию О.Р. 374 5п,-----,, ,Троицкий
20,2021-11-01 18:04:29.000000,Перезагрузка по питанию Астахова 19 2п,-----,, ,Троицкий
21,2021-11-01 18:08:36.000000,"Не работает О.Р. 374 5п, пропал линк, мощности на порту нет.",-----,18:49, Не было электричества,Троицкий
22,2021-11-01 20:31:27.000000,"Не работает О.Р. 374 5п, пропал линк, мощности на порту нет.",-----,21:38,  Не было электричества,Троицкий
23,2021-11-01 21:08:06.000000,Ulcom достиг 5 гб/с,-----,, Штатная ситуация,Троицкий
24,2021-11-01 22:33:11.000000,"Не работает О.Р. 374 4п, пропал линк, мощности на порту нет.",-----,, ,Троицкий
25,2021-11-01 23:00:00.000000,Дежурство сдал.,-----,, ,Троицкий
26,2021-11-02 08:10:44.000000,Заступил на дежурство,-----,, ,Брянский
27,2021-11-02 09:31:41.000000,Подключил 51459 (Лабзин),-----,, ,Брянский
28,2021-11-02 10:32:28.000000,Не работает Подлужье,Панин,11:03, Возможно проблемы со светом,Брянский
29,2021-11-02 10:32:41.000000,Подключил 51465 (Лабзин),-----,, ,Брянский
30,2021-11-02 10:43:06.000000,Подключил 13748,-----,, ,Брянский
31,2021-11-02 11:47:51.000000,Подключил 13765 (Лабзин),-----,, ,Брянский
32,2021-11-02 12:12:48.000000,Подключил 51460,-----,, ,Брянский
33,2021-11-02 13:31:57.000000,Подключил 51464,-----,, ,Брянский
34,2021-11-02 14:43:54.000000,Замена коммутатора 58.144 Добролюбова 29 3п,Федосеев,, Нужно разобраться с подписями в заббиксе,Брянский
35,2021-11-02 14:52:16.000000,Подключил 13729 (Синицин),-----,," Плохой сигнал -30.46 [dBm](исправлено)
",Брянский
36,2021-11-02 15:39:12.000000,Подключил 34823,-----,, ,Брянский
37,2021-11-02 16:54:00.000000,Подключил 13738 (Кулида),-----,, ,Брянский
38,2021-11-02 17:01:06.000000,Дежурство сдал,-----,, ,Брянский
39,2021-11-03 07:00:43.000000,Заступил на дежурство,-----,, ,Кочеров
40,2021-11-03 09:26:14.000000,Подключил 29748,-----,, ,Кочеров
41,2021-11-03 13:12:26.000000,Не работает Дзержинского 5а,Федосеев,20:03, Пожар на доме,Кочеров
42,2021-11-03 14:19:05.000000,Не работает Дзержинского 5,Федосеев,15:04, ,Кочеров
43,2021-11-03 21:28:24.000000,Ulcom превысил отметку 6.5 Гбит ,Трушин,," Позвонил Трушину, сказал что пусть работает так.",Кочеров
44,2021-11-03 23:01:53.000000,Дежурство Сдал,-----,, ,Кочеров
45,2021-11-04 06:59:59.000000,Заступил на дежурство,-----,, ,Троицкий
46,2021-11-04 07:16:07.000000,"С ночи не работает Д. П. 10а (Колизей), пропал линк в 23.44, приходящей мощности нет. 
В 11.00 обнаружил, что мощность появилась, но линк не поднимается, перезагрузка порта не помогает.",Панин,13:36,Замена трансиверов с обеих сторон,Троицкий
47,2021-11-04 11:23:54.000000,Перезагрузка по питанию Макеева 1а,-----,, ,Троицкий
48,2021-11-04 17:36:36.000000,Ulcom достиг 5 Гб/с,-----,, Штатная ситуация,Троицкий
49,2021-11-04 18:40:20.000000,"Недозагружен канал TTK (3 Гб/с, при этом канал ulcom превышает 5 Гб/с)",Трушин,, Штатная ситуация,Троицкий
50,2021-11-04 19:57:54.000000,"Периодически растут ошибки на 49.194:26 (Спирина 4а), трансивер без ddm, со стороны Дм. Донского 38 мощность в норме.",-----,," Пометил в картах сетей, нужно будет проверить, как появится свободное время у специалистов.",Троицкий
51,2021-11-04 20:42:12.000000,Retn достиг 5 Гб/с,-----,, Трушин мониторит ситуацию,Троицкий
52,2021-11-04 23:00:03.000000,Дежурство сдал.,-----,, ,Троицкий
53,2021-11-05 07:09:26.000000,Заступил на дежурство,-----,, ,Кочеров
54,2021-11-05 22:01:08.000000,Не работает Фрунзе 41 2 подъезд,Федосеев,10:44," Не было света, выбило автомат. Починили 06.11.2021",Кочеров
55,2021-11-05 22:22:43.000000,Не отображался  NAT 2  в графиках ,-----,,Работал и пинговался.  Неисправностей не выявил.,Кочеров
56,2021-11-05 23:01:31.000000,Дежурство Сдал,-----,, ,Кочеров
57,2021-11-06 07:09:07.000000,Заступил на дежурство,-----,, ,Кочеров
58,2021-11-06 23:00:06.000000,Дежурство Сдал,-----,, ,Кочеров
